"year","date","transect.location","transectID","reader","pointno","pellet.count","notes"
2014,2014-04-26 00:00:00,"white oak","F","SM",1,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",2,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",3,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",4,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",5,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",6,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",7,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",8,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",9,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",10,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",11,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",12,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",13,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",14,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",15,3,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",16,1,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",17,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",18,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",19,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",20,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",21,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",22,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",23,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",24,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",25,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",26,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",27,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",28,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",29,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",30,1,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",31,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",32,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",33,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",34,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",35,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",36,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",37,0,NA
2014,2014-04-26 00:00:00,"white oak","F","SM",38,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",1,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",2,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",3,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",4,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",5,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",6,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",7,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",8,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",9,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",10,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",11,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",12,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",13,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",14,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",15,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",16,1,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",17,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",18,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",19,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",20,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",21,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",22,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",23,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",24,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",25,1,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",26,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",27,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",28,2,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",29,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",30,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",31,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",32,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",33,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",34,1,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",35,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",36,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",37,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",38,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",39,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",40,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",41,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",42,0,NA
2014,2014-04-26 00:00:00,"white oak to pecks pond","E","BF",43,0,NA
